Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2014",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
,Aransas Pass,37,0,0,8,29,444,154,270,20,3
,Arcola,3,2,0,0,1,17,1,14,2,0
,Argyle,1,0,1,0,0,19,9,9,1,0
,Arlington,"1,854",13,206,493,"1,142","13,462","2,470","10,086",906,26
,Arp,0,0,0,0,0,7,3,4,0,0
,Athens,44,1,14,6,23,541,147,370,24,0
,Atlanta,22,0,7,2,13,272,77,187,8,0
,Aubrey,8,0,2,0,6,37,6,31,0,0
,Austin,"3,581",32,571,873,"2,105","37,444","5,733","29,423","2,288",95
,Azle,39,1,0,8,30,424,85,324,15,4
,Baird,5,1,0,1,3,34,16,18,0,1
,Balch Springs,233,2,15,30,186,"1,079",212,721,146,0
,Balcones Heights,21,0,3,3,15,450,19,403,28,0
,Ballinger,12,0,5,0,7,121,48,72,1,1
,Bangs,5,0,2,0,3,9,2,7,0,0
,Bastrop,37,0,2,12,23,441,30,387,24,3
,Bay City,55,0,6,13,36,726,171,540,15,5
,Bayou Vista,0,0,0,0,0,35,7,25,3,0
,Baytown,241,5,32,84,120,"3,157",638,"2,091",428,16
,Beaumont,"1,050",16,91,293,650,"5,530","1,456","3,861",213,40
,Bedford,219,1,20,28,170,"1,295",204,"1,023",68,1
,Bee Cave,7,0,1,0,6,158,10,140,8,0
,Beeville,28,0,0,1,27,423,98,319,6,0
,Bellaire,25,0,3,13,9,331,86,228,17,0
,Bellmead,171,0,13,15,143,"1,122",86,"1,002",34,1
,Bellville,12,0,4,3,5,111,30,78,3,0
,Belton,40,1,6,10,23,960,166,771,23,0
,Benbrook,28,2,2,4,20,382,47,300,35,2
,Bertram,6,0,0,0,6,35,13,19,3,0
,Beverly Hills,14,0,0,2,12,93,22,58,13,1
,Big Sandy,1,0,0,0,1,0,0,0,0,0
,Big Spring,216,1,5,36,174,"1,333",310,965,58,5
,Bishop,2,0,1,0,1,53,9,42,2,0
,Blanco,3,0,0,0,3,34,7,27,0,0
,Blue Mound,1,0,0,0,1,17,3,9,5,0
,Boerne,31,0,7,3,21,297,28,261,8,1
,Bogata,4,0,0,0,4,30,14,15,1,1
,Bonham,9,0,3,0,6,244,48,191,5,2
,Borger,113,2,6,5,100,468,125,308,35,0
,Bovina,5,0,0,0,5,10,5,4,1,0
,Bowie,19,2,2,3,12,317,69,232,16,1
,Boyd,9,0,0,1,8,36,8,25,3,0
,Brady,3,0,0,0,3,92,26,61,5,2
,Brazoria,9,0,3,0,6,56,16,38,2,0
,Breckenridge,8,0,2,0,6,80,22,57,1,1
,Bremond,3,0,0,1,2,12,4,7,1,2
,Brenham,53,1,6,10,36,487,110,358,19,15
,Bridge City,22,0,5,4,13,108,26,72,10,0
,Bridgeport,17,0,4,2,11,75,20,54,1,0
,Brookshire,22,0,2,5,15,81,17,55,9,0
,Brookside Village,6,0,1,2,3,9,5,3,1,0
,Brownfield,28,1,5,2,20,256,76,172,8,3
,Brownsville,558,5,103,138,312,"7,505","1,068","6,258",179,20
,Brownwood,68,1,12,6,49,787,178,595,14,1
,Bryan,338,5,68,58,207,"2,521",549,"1,865",107,17
,Buda,13,0,3,5,5,326,29,284,13,0
,Bullard,0,0,0,0,0,34,6,24,4,0
,Bulverde,1,0,0,0,1,56,17,39,0,0
,Burkburnett,21,0,4,2,15,300,53,228,19,1
,Burleson,69,0,18,9,42,914,118,758,38,3
,Burnet,39,1,6,1,31,109,34,70,5,0
,Cactus,10,0,2,0,8,30,9,18,3,0
,Caddo Mills,1,1,0,0,0,12,2,9,1,0
,Caldwell,2,0,2,0,0,23,3,20,0,0
,Calvert,6,0,0,1,5,33,11,21,1,1
,Cameron,24,0,1,7,16,177,42,130,5,1
,Canton,24,0,0,0,24,153,0,152,1,0
,Canyon,9,0,2,0,7,106,9,92,5,0
,Carrollton,166,1,6,54,105,"2,784",510,"2,028",246,8
,Carthage,33,0,6,3,24,363,55,298,10,0
,Castle Hills,7,0,0,6,1,270,25,229,16,0
,Castroville,2,0,0,1,1,50,4,45,1,0
,Cedar Hill,93,0,13,28,52,"1,439",271,"1,103",65,3
,Cedar Park,67,1,35,7,24,965,141,786,38,15
,Celina,8,0,1,1,6,74,18,56,0,0
,Center,44,0,2,8,34,254,51,193,10,0
,Cibolo,15,0,1,3,11,283,65,206,12,3
,Cisco,5,0,0,0,5,63,34,25,4,0
,Clarksville,27,0,3,0,24,124,37,85,2,1
,Cleveland,75,1,12,13,49,717,77,601,39,5
,Clifton,4,0,0,0,4,40,12,26,2,0
,Clint,1,0,0,0,1,1,0,0,1,0
,Clute,15,1,0,0,14,162,34,123,5,1
,Clyde,2,0,0,1,1,61,29,32,0,1
,Cockrell Hill,14,1,3,5,5,112,17,79,16,2
,Coleman,8,0,0,0,8,142,78,61,3,1
,College Station,191,0,45,31,115,"2,343",517,"1,748",78,1
,Colleyville,10,1,2,0,7,142,17,124,1,0
,Collinsville,0,0,0,0,0,16,9,7,0,0
,Colorado City,22,0,0,1,21,154,83,70,1,0
,Columbus,6,0,3,1,2,64,8,55,1,0
,Comanche,21,0,1,0,20,179,40,139,0,0
,Combes,14,0,2,0,12,43,18,25,0,1
,Commerce,29,0,5,6,18,250,97,147,6,2
,Conroe,206,2,28,71,105,"2,211",431,"1,672",108,4
,Converse,88,0,16,6,66,420,64,323,33,1
,Coppell,23,0,7,8,8,495,79,399,17,0
,Copperas Cove,112,1,11,17,83,957,173,760,24,5
,Corinth,19,0,3,2,14,191,40,137,14,1
,Corpus Christi,"2,094",27,280,377,"1,410","14,110","2,316","11,233",561,50
,Corrigan,5,0,0,0,5,43,18,23,2,0
,Corsicana,120,0,14,31,75,"1,123",322,776,25,2
,Crandall,10,0,0,0,10,65,36,22,7,2
,Crane,6,0,0,0,6,15,1,12,2,0
,Crockett,29,0,0,3,26,224,48,168,8,0
,Crosbyton,3,0,0,0,3,22,3,18,1,1
,Crowell,0,0,0,0,0,0,0,0,0,0
,Crowley,33,3,0,5,25,346,45,289,12,1
,Crystal City,1,0,0,0,1,250,108,139,3,0
,Cuero,78,0,3,1,74,240,52,181,7,2
,Cumby,0,0,0,0,0,2,1,0,1,0
,Daingerfield,6,0,0,4,2,131,50,79,2,0
,Dalhart,64,0,2,4,58,180,38,134,8,2
,Dallas,"8,457",116,781,"3,856","3,704","45,669","11,685","26,939","7,045",385
,Dalworthington Gardens,5,0,0,1,4,34,11,22,1,0
,Danbury,4,0,0,0,4,2,1,1,0,0
,Dayton,29,1,1,7,20,225,44,156,25,1
,Decatur,10,0,1,4,5,209,12,190,7,0
,Deer Park,46,0,12,13,21,684,92,543,49,2
,De Kalb,18,0,0,0,18,54,30,22,2,0
,De Leon,12,0,5,0,7,21,8,13,0,0
,Del Rio,48,0,0,4,44,927,200,701,26,3
,Denison,88,0,17,16,55,714,169,486,59,1
,Denton,339,2,104,55,178,"3,021",423,"2,464",134,0
,Denver City,6,0,2,0,4,58,14,41,3,0
,DeSoto,147,0,14,58,75,"1,773",383,"1,240",150,17
,Devine,7,1,3,0,3,65,9,53,3,0
,Diboll,6,0,1,0,5,99,29,66,4,0
,Dickinson,54,0,8,14,32,526,121,373,32,1
,Dilley,14,1,2,3,8,82,36,40,6,1
,Dimmitt,5,0,0,1,4,137,35,94,8,0
,Donna,166,0,5,16,145,941,243,656,42,5
,Double Oak,5,0,0,0,5,16,1,15,0,0
,Driscoll,0,0,0,0,0,5,1,4,0,0
,Dublin,2,0,0,0,2,89,38,50,1,0
,Dumas,38,0,4,2,32,357,49,296,12,2
,Duncanville,125,3,11,58,53,"1,406",299,987,120,2
,Eagle Lake,5,0,0,0,5,24,16,8,0,0
,Eagle Pass,36,0,1,3,32,839,176,655,8,2
,Early,27,0,7,1,19,88,18,68,2,1
,Eastland,14,0,0,0,14,147,30,113,4,0
,East Mountain,3,0,0,1,2,8,4,4,0,0
,Edcouch,20,1,1,1,17,74,22,51,1,0
,Edinburg,296,1,66,48,181,"4,420",562,"3,658",200,10
,Edna,19,0,4,0,15,98,28,69,1,4
,El Campo,50,1,6,4,39,296,72,213,11,2
,Elgin,10,0,1,6,3,208,59,147,2,0
,El Paso,"2,671",21,335,415,"1,900","14,570","1,579","12,170",821,48
,Elsa,96,0,2,2,92,308,70,238,0,4
,Ennis,56,0,6,12,38,642,98,510,34,1
,Euless,64,0,8,27,29,"1,249",228,899,122,2
,Everman,28,0,6,8,14,152,45,102,5,2
,Fairfield,3,0,0,0,3,12,7,5,0,0
,Fair Oaks Ranch,2,0,0,0,2,28,13,15,0,0
,Fairview,8,0,0,1,7,67,7,56,4,1
,Falfurrias,17,1,4,3,9,119,39,80,0,2
,Farmers Branch,61,0,11,28,22,939,150,691,98,1
,Farmersville,18,0,5,5,8,82,35,46,1,0
,Farwell,2,0,0,0,2,20,6,13,1,0
,Ferris,3,0,0,1,2,57,10,43,4,1
,Flatonia,5,0,0,1,4,14,5,7,2,0
,Florence,2,0,0,0,2,4,0,4,0,0
,Floresville,24,0,0,2,22,296,37,239,20,0
,Flower Mound,34,2,7,8,17,642,84,536,22,3
,Floydada,10,0,1,0,9,60,27,29,4,0
,Forest Hill,32,0,3,18,11,411,101,278,32,0
,Forney,32,0,1,2,29,253,51,163,39,2
,Fort Stockton,50,0,10,5,35,242,62,168,12,0
,Frankston,2,0,1,0,1,62,23,39,0,0
,Fredericksburg,7,0,0,1,6,240,40,196,4,0
,Freeport,40,2,4,8,26,299,79,208,12,0
,Freer,11,0,0,0,11,79,28,46,5,0
,Friendswood,21,0,11,2,8,329,70,245,14,3
,Friona,1,0,0,0,1,26,9,12,5,0
,Frisco,116,4,18,20,74,"2,508",396,"2,038",74,8
,Fulton,7,1,0,1,5,60,23,33,4,0
,Gainesville,78,1,10,22,45,755,165,533,57,9
,Galena Park,28,0,6,8,14,219,66,106,47,0
,Galveston,256,6,51,105,94,"2,054",414,"1,447",193,17
,Ganado,0,0,0,0,0,8,2,4,2,0
,Garden Ridge,0,0,0,0,0,39,16,23,0,0
,Garland,644,5,96,312,231,"7,695","1,527","5,431",737,45
,Gatesville,15,0,6,1,8,272,67,194,11,0
,Giddings,22,0,4,2,16,130,23,105,2,0
,Gilmer,43,0,0,4,39,209,39,161,9,1
,Gladewater,85,0,8,6,71,485,108,363,14,0
,Glenn Heights,44,0,6,9,29,276,82,173,21,0
,Godley,1,0,0,0,1,15,2,11,2,4
,Gonzales,111,0,6,4,101,347,88,250,9,2
,Gorman,2,1,0,0,1,44,11,33,0,0
,Graham,22,0,9,0,13,184,33,141,10,4
,Granbury,17,0,1,2,14,535,33,499,3,0
,Grand Prairie,482,4,74,163,241,"4,635",913,"3,124",598,11
,Grand Saline,9,0,1,1,7,49,14,34,1,0
,Granger,1,0,0,0,1,15,2,13,0,0
,Granite Shoals,7,0,6,0,1,54,24,28,2,1
,Grapeland,4,0,0,0,4,24,12,12,0,0
,Grapevine,62,0,9,10,43,"1,203",142,990,71,1
,Greenville,143,6,27,44,66,"1,193",231,906,56,12
,Gregory,4,1,0,1,2,14,3,7,4,0
,Groesbeck,13,0,0,3,10,62,21,39,2,0
,Groves,95,0,10,19,66,494,92,368,34,1
,Gun Barrel City,8,0,2,1,5,189,39,138,12,0
,Hale Center,11,0,0,0,11,37,17,17,3,1
,Hallettsville,11,0,2,0,9,77,16,60,1,0
,Hallsville,11,0,0,0,11,28,7,18,3,0
,Haltom City,108,0,34,25,49,"1,206",259,832,115,7
,Hamlin,13,0,0,0,13,35,13,21,1,0
,Harker Heights,76,0,12,27,37,810,158,618,34,4
,Harlingen,146,0,11,34,101,"2,059",412,"1,589",58,9
,Haskell,4,0,0,1,3,26,4,19,3,0
,Hawkins,4,2,0,0,2,32,7,22,3,0
,Hawley,3,0,2,1,0,7,0,7,0,0
,Hearne,76,0,2,1,73,109,36,70,3,0
,Heath,4,0,2,0,2,44,3,41,0,0
,Hedwig Village,11,1,1,8,1,204,18,177,9,0
,Helotes,3,0,2,0,1,132,20,110,2,0
,Hemphill,1,0,0,1,0,19,5,13,1,0
,Hempstead,68,0,6,5,57,226,97,121,8,2
,Henderson,62,0,3,6,53,474,78,384,12,2
,Hereford,47,0,7,7,33,397,101,273,23,0
,Hewitt,16,0,5,3,8,140,26,108,6,1
,Hickory Creek,8,0,0,5,3,65,5,58,2,0
,Hidalgo,49,0,5,2,42,241,36,177,28,0
,Highland Park,5,0,0,1,4,211,33,175,3,0
,Highland Village,7,0,2,0,5,108,36,67,5,0
,Hill Country Village,1,0,1,0,0,43,10,31,2,0
,Hillsboro,18,0,2,4,12,319,45,265,9,0
,Hitchcock,24,0,4,6,14,165,63,95,7,0
,Hollywood Park,0,0,0,0,0,103,41,56,6,0
,Hondo,33,1,6,8,18,286,42,234,10,3
,Hooks,6,0,1,1,4,26,10,14,2,0
,Horizon City,9,0,0,1,8,285,27,249,9,4
,Horseshoe Bay,13,0,1,0,12,52,11,38,3,0
,Houston,"22,008",242,812,"10,186","10,768","104,197","21,629","68,125","14,443",716
,Howe,14,0,1,0,13,23,7,13,3,0
,Hubbard,5,0,1,0,4,3,1,2,0,0
,Hudson,45,0,7,2,36,124,38,80,6,0
,Hughes Springs,4,0,1,0,3,10,1,7,2,0
,Humble,106,0,14,49,43,"1,633",147,"1,332",154,2
,Huntington,4,0,1,1,2,63,29,31,3,0
,Huntsville,211,1,37,24,149,956,183,718,55,6
,Hurst,143,2,22,38,81,"1,705",198,"1,441",66,5
,Hutchins,11,0,1,3,7,149,46,83,20,0
,Hutto,13,0,5,1,7,159,32,121,6,0
,Idalou,4,0,4,0,0,14,5,7,2,0
,Ingleside,27,0,6,5,16,254,80,146,28,2
,Ingram,4,0,2,0,2,73,12,58,3,0
,Iowa Park,18,0,2,1,15,63,12,43,8,0
,Irving,512,5,36,175,296,"6,291","1,043","4,676",572,23
,Italy,3,0,1,1,1,38,8,28,2,0
,Itasca,2,0,0,2,0,7,2,5,0,0
,Jacinto City,10,0,0,8,2,296,65,183,48,1
,Jacksboro,11,1,3,0,7,89,35,49,5,0
,Jacksonville,105,0,14,17,74,615,181,421,13,4
,Jamaica Beach,0,0,0,0,0,6,5,1,0,0
,Jarrell,3,0,0,0,3,10,0,9,1,0
,Jasper,37,1,7,0,29,524,62,457,5,1
,Jefferson,10,1,0,1,8,67,21,45,1,0
,Jersey Village,10,0,0,5,5,188,60,101,27,0
,Johnson City,0,0,0,0,0,4,1,3,0,0
,Jones Creek,5,0,0,0,5,10,1,9,0,0
,Jonestown,7,0,0,0,7,42,12,29,1,0
,Joshua,17,0,3,0,14,104,24,77,3,0
,Jourdanton,6,0,0,0,6,4,3,1,0,0
,Junction,3,1,0,1,1,32,17,15,0,0
,Karnes City,8,0,0,0,8,64,11,52,1,2
,Katy,44,0,13,16,15,524,57,438,29,1
,Kaufman,15,0,2,6,7,141,14,119,8,0
,Keene,2,0,0,0,2,88,33,53,2,0
,Keller,24,1,7,0,16,374,58,305,11,0
,Kemah,13,0,1,4,8,252,13,237,2,0
,Kenedy,14,0,0,2,12,141,28,108,5,0
,Kennedale,18,1,2,5,10,186,53,123,10,1
,Kermit,14,1,1,0,12,27,12,14,1,1
,Kerrville,71,1,18,4,48,589,67,504,18,3
,Kilgore,51,1,5,6,39,537,85,403,49,4
,Killeen,846,10,114,196,526,"4,703","1,334","3,149",220,38
,Kingsville,191,0,3,17,171,977,235,715,27,1
,Kirby,14,1,0,4,9,191,62,105,24,1
,Kirbyville,3,0,0,0,3,30,4,25,1,0
,Kountze,12,1,0,2,9,51,22,26,3,0
,Kress,0,0,0,0,0,2,0,2,0,0
,Kyle,67,0,12,3,52,517,78,412,27,1
,Lacy-Lakeview,46,0,6,6,34,267,62,188,17,3
,La Feria,9,0,5,2,2,321,95,224,2,1
,Lago Vista,14,0,0,0,14,88,27,56,5,0
,La Grange,14,0,3,0,11,74,20,52,2,0
,Laguna Vista,6,0,0,1,5,59,17,40,2,0
,La Grulla,10,0,0,2,8,14,10,3,1,0
,Lake Dallas,21,0,2,0,19,146,29,105,12,0
,Lake Jackson,35,0,8,17,10,535,116,403,16,1
,Lakeside,1,0,0,0,1,18,5,12,1,0
,"Lakeview, Harrison County",11,0,1,0,10,37,10,26,1,0
,Lakeway,18,0,4,0,14,132,22,104,6,0
,Lake Worth,13,0,0,6,7,603,106,486,11,0
,La Marque,75,0,6,24,45,979,208,716,55,1
,Lamesa,55,0,13,3,39,374,108,248,18,3
,Lampasas,23,0,4,2,17,274,52,216,6,0
,La Porte,70,0,29,12,29,584,111,425,48,7
,Laredo,976,14,99,196,667,"9,687","1,267","8,144",276,75
,La Vernia,2,0,0,0,2,20,2,18,0,0
,Lavon,0,0,0,0,0,16,1,15,0,0
,League City,98,3,30,26,39,"1,807",317,"1,421",69,0
,Leander,38,0,10,1,27,365,45,302,18,3
,Leon Valley,41,0,8,14,19,707,98,545,64,0
,Levelland,61,0,12,3,46,487,147,324,16,10
,Lewisville,202,1,37,55,109,"2,480",425,"1,719",336,7
,Lexington,5,0,1,0,4,41,11,28,2,0
,Liberty,41,0,6,2,33,387,65,310,12,1
,Lindale,22,0,2,2,18,193,40,148,5,0
,Linden,11,0,0,1,10,40,21,16,3,0
,Little Elm,41,0,6,1,34,289,87,187,15,0
,Littlefield,17,0,0,4,13,200,61,135,4,5
,Live Oak,33,0,8,2,23,508,36,435,37,0
,Livingston,32,0,4,8,20,320,43,263,14,0
,Llano,1,0,0,1,0,51,7,42,2,0
,Lockhart,25,0,3,7,15,396,75,303,18,1
,Lone Star,7,0,1,1,5,43,8,32,3,1
,Longview,272,2,23,65,182,"2,942",610,"2,160",172,2
,Lorena,5,0,2,0,3,33,14,19,0,0
,Los Fresnos,19,0,1,0,18,127,24,102,1,1
,Lubbock,"2,084",12,128,333,"1,611","10,617","2,288","7,563",766,46
,Lufkin,157,1,0,49,107,"2,016",395,"1,554",67,6
,Luling,31,0,4,3,24,99,20,75,4,0
,Lumberton,26,1,6,0,19,170,29,135,6,0
,Lyford,4,0,0,1,3,16,5,11,0,0
,Lytle,3,0,0,1,2,118,15,94,9,3
,Madisonville,17,1,2,3,11,133,24,107,2,1
,Magnolia,0,0,0,0,0,44,9,34,1,0
,Malakoff,5,0,0,2,3,52,16,33,3,0
,Manor,25,0,3,6,16,249,15,229,5,1
,Mansfield,59,0,9,21,29,932,144,739,49,3
,Manvel,4,1,1,0,2,87,36,47,4,2
,Marble Falls,16,0,7,4,5,367,31,326,10,0
,Marlin,21,0,4,2,15,70,18,50,2,0
,Marshall,153,3,9,24,117,887,215,643,29,9
,Martindale,0,0,0,0,0,5,2,3,0,0
,McAllen,181,6,18,68,89,"4,947",411,"4,364",172,17
,McGregor,18,0,0,1,17,56,18,36,2,1
,McKinney,226,3,43,60,120,"2,828",398,"2,281",149,13
,Meadows Place,7,0,0,3,4,102,18,78,6,0
,Melissa,3,0,0,0,3,91,16,69,6,1
,Memorial Villages,4,0,0,4,0,79,23,56,0,0
,Memphis,3,0,0,0,3,24,12,10,2,0
,Mercedes,102,1,10,10,81,840,165,639,36,7
,Merkel,3,0,0,0,3,31,8,23,0,0
,Mesquite,432,4,53,191,184,"5,846","1,176","3,816",854,10
,Mexia,52,0,5,5,42,345,52,279,14,2
,Midland,407,7,36,65,299,"3,266",597,"2,475",194,5
,Midlothian,28,0,7,2,19,342,28,294,20,1
,Mineola,17,1,1,1,14,182,25,150,7,0
,Mineral Wells,44,0,7,7,30,662,164,467,31,1
,Mission,95,0,5,30,60,"2,405",309,"1,964",132,29
,Missouri City,126,1,17,35,73,"1,162",207,856,99,4
,Monahans,16,0,2,0,14,154,58,87,9,2
,Mont Belvieu,10,0,5,0,5,145,14,98,33,0
,Montgomery,3,0,0,0,3,23,3,20,0,0
,Morgans Point Resort,3,0,0,0,3,46,11,35,0,1
,Mount Pleasant,78,0,18,10,50,659,143,495,21,2
,Muleshoe,0,0,0,0,0,66,18,45,3,1
,Munday,0,0,0,0,0,8,3,2,3,0
,Murphy,13,2,3,1,7,149,13,133,3,0
,Mustang Ridge,0,0,0,0,0,22,6,16,0,0
,Nacogdoches,110,3,24,14,69,"1,221",197,984,40,4
,Naples,6,0,0,1,5,24,10,12,2,1
,Nash,46,1,1,3,41,78,13,61,4,0
,Nassau Bay,15,0,6,5,4,114,19,87,8,0
,Navasota,107,1,7,5,94,260,51,191,18,0
,Nederland,63,0,12,9,42,439,84,315,40,0
,Needville,7,0,3,0,4,19,5,14,0,0
,New Boston,11,0,0,1,10,289,41,243,5,0
,New Braunfels,182,1,9,21,151,"2,101",313,"1,614",174,13
,Nixon,5,0,1,0,4,19,9,10,0,0
,Nocona,1,0,0,0,1,17,6,9,2,0
,Nolanville,30,0,0,2,28,78,17,59,2,0
,Northeast,4,0,0,0,4,92,4,86,2,0
,Northlake,7,1,1,0,5,45,10,33,2,0
,North Richland Hills,120,0,18,26,76,"1,542",258,"1,210",74,5
,Oak Ridge,1,0,0,0,1,3,2,1,0,0
,Oak Ridge North,2,0,1,1,0,71,10,54,7,0
,Odessa,"1,068",11,65,148,844,"4,217",735,"3,004",478,24
,O'Donnell,0,0,0,0,0,0,0,0,0,0
,Olmos Park,0,0,0,0,0,50,9,36,5,0
,Olney,2,0,0,1,1,84,27,52,5,0
,Olton,1,0,0,0,1,20,3,15,2,0
,Omaha,3,0,0,0,3,17,8,9,0,0
,Onalaska,13,0,6,1,6,53,21,31,1,0
,Orange,72,2,0,32,38,495,196,250,49,3
,Orange Grove,0,0,0,0,0,28,8,19,1,0
,Ovilla,8,0,1,0,7,21,5,13,3,0
,Oyster Creek,12,0,1,0,11,36,9,22,5,0
,Paducah,7,0,0,0,7,7,3,2,2,5
,Palacios,8,0,0,3,5,107,29,74,4,0
,Palestine,109,0,21,16,72,765,165,556,44,1
,Palmer,1,0,0,0,1,32,14,17,1,1
,Palmhurst,3,0,0,0,3,276,6,270,0,0
,Palm Valley,0,0,0,0,0,31,1,30,0,0
,Palmview,41,0,10,3,28,336,46,277,13,1
,Pampa,105,0,0,7,98,820,150,637,33,1
,Panhandle,0,0,0,0,0,20,7,10,3,0
,Pantego,15,0,0,2,13,93,13,75,5,0
,Paris,139,1,5,28,105,"1,087",267,787,33,0
,Parker,0,0,0,0,0,12,4,8,0,0
,Pasadena,591,7,93,154,337,"4,630",788,"3,322",520,16
,Pearland,155,1,39,28,87,"2,059",303,"1,676",80,4
,Pearsall,37,0,0,1,36,261,67,184,10,1
,Pecos,39,1,4,4,30,122,11,106,5,0
,Pelican Bay,2,0,0,0,2,19,9,10,0,1
,Penitas,16,0,4,0,12,163,17,139,7,0
,Perryton,9,0,0,1,8,36,10,25,1,0
,Pflugerville,61,0,18,9,34,852,116,704,32,3
,Pharr,291,1,32,37,221,"2,385",494,"1,785",106,5
,Pinehurst,8,0,0,4,4,73,12,59,2,0
,Pittsburg,48,0,6,5,37,178,65,107,6,2
,Plainview,53,0,6,7,40,831,138,657,36,1
,Plano,459,4,80,156,219,"5,486",824,"4,369",293,23
,Pleasanton,35,2,2,3,28,562,87,440,35,1
,Ponder,2,0,2,0,0,16,3,12,1,0
,Port Aransas,28,0,6,0,22,307,41,253,13,0
,Port Arthur,341,8,29,114,190,"2,131",528,"1,471",132,9
,Port Isabel,13,0,1,0,12,283,56,222,5,1
,Portland,22,0,1,5,16,536,74,450,12,1
,Port Lavaca,85,1,13,1,70,358,99,236,23,1
,Port Neches,56,0,13,1,42,238,61,165,12,0
,Poteet,13,1,2,1,9,138,38,90,10,1
,Poth,11,0,3,1,7,46,29,13,4,0
,Pottsboro,9,0,0,0,9,17,5,11,1,0
,Prairie View,21,3,2,5,11,41,16,25,0,2
,Premont,29,0,2,1,26,65,38,26,1,2
,Presidio,2,0,0,0,2,11,6,4,1,0
,Primera,2,0,0,0,2,36,11,19,6,0
,Princeton,23,0,5,2,16,101,21,78,2,1
,Prosper,17,0,4,0,13,199,57,136,6,1
,Queen City,18,1,0,1,16,44,17,27,0,0
,Quitman,3,2,0,0,1,25,10,15,0,0
,Ralls,1,1,0,0,0,1,1,0,0,0
,Rancho Viejo,0,0,0,0,0,10,2,8,0,0
,Ranger,9,0,1,0,8,60,30,28,2,0
,Raymondville,123,0,4,6,113,564,156,392,16,14
,Red Oak,12,0,0,7,5,338,36,280,22,0
,Refugio,5,0,0,1,4,49,17,30,2,1
,Reno,2,0,0,0,2,49,9,40,0,0
,Richardson,179,1,22,75,81,"2,405",374,"1,885",146,7
,Richland Hills,19,0,1,4,14,243,63,153,27,0
,Richmond,48,1,5,8,34,332,75,245,12,0
,Richwood,4,0,2,0,2,49,10,38,1,0
,Riesel,1,0,0,0,1,12,2,10,0,0
,Rio Grande City,34,0,6,7,21,346,61,243,42,0
,Rio Hondo,4,0,2,0,2,58,12,46,0,0
,River Oaks,11,0,0,5,6,148,44,95,9,0
,Roanoke,15,0,1,6,8,171,16,152,3,0
,Robinson,29,0,1,1,27,120,18,99,3,1
,Robstown,133,0,0,11,122,513,158,341,14,1
,Rockdale,21,1,4,1,15,180,39,130,11,1
,Rockport,31,0,3,4,24,537,113,407,17,0
,Rockwall,41,0,7,5,29,760,86,613,61,0
,Rollingwood,0,0,0,0,0,10,1,7,2,0
,Roma,25,2,3,4,16,121,19,84,18,1
,Roman Forest,1,0,0,1,0,33,4,27,2,0
,Roscoe,1,0,0,0,1,7,2,4,1,2
,Rosenberg,92,0,16,20,56,725,174,513,38,1
,Round Rock,140,0,29,39,72,"2,189",247,"1,891",51,5
,Rowlett,75,2,11,8,54,797,125,623,49,1
,Royse City,17,0,3,0,14,79,17,53,9,0
,Runaway Bay,0,0,0,0,0,3,2,1,0,0
,Rusk,15,0,2,0,13,84,20,59,5,1
,Sabinal,1,0,0,0,1,22,2,20,0,0
,Sachse,19,0,7,8,4,203,39,155,9,1
,Saginaw,49,0,18,11,20,481,53,378,50,1
,Salado,0,0,0,0,0,26,3,23,0,0
,San Angelo,325,3,46,38,238,"3,786",808,"2,738",240,12
,San Antonio,"7,704",103,"1,077","1,777","4,747","77,392","12,344","57,908","7,140",298
,San Augustine,6,0,0,0,6,38,12,26,0,0
,San Benito,68,0,1,14,53,"1,100",237,843,20,2
,Sanger,13,0,1,0,12,124,28,85,11,0
,San Juan,195,2,44,17,132,"1,140",155,922,63,0
,San Marcos,180,0,43,34,103,"1,753",350,"1,273",130,0
,San Saba,4,0,1,2,1,35,12,22,1,0
,Sansom Park Village,31,0,1,3,27,132,44,76,12,0
,Santa Anna,3,0,0,0,3,15,6,9,0,0
,Santa Fe,22,1,5,5,11,268,60,179,29,0
,Schertz,65,1,13,12,39,654,105,515,34,2
,Schulenburg,28,1,0,1,26,89,25,62,2,0
,Seabrook,9,0,0,7,2,183,37,134,12,0
,Seagoville,22,1,0,9,12,565,78,387,100,1
,Seagraves,3,0,1,0,2,34,8,22,4,0
,Sealy,47,0,2,4,41,193,68,113,12,0
,Seguin,95,0,30,19,46,988,181,780,27,5
,Selma,16,0,4,2,10,214,28,167,19,0
,Seminole,2,0,1,0,1,72,10,54,8,0
,Seven Points,7,0,0,2,5,67,21,42,4,0
,Seymour,9,0,2,0,7,69,20,47,2,0
,Shallowater,0,0,0,0,0,5,2,0,3,0
,Shamrock,2,0,0,2,0,21,7,11,3,0
,Shavano Park,0,0,0,0,0,55,8,46,1,0
,Shenandoah,6,0,0,5,1,199,25,151,23,0
,Sherman,142,0,25,22,95,"1,150",282,818,50,2
,Silsbee,6,0,0,0,6,210,24,182,4,0
,Sinton,43,0,3,2,38,168,34,125,9,3
,Smithville,12,1,2,1,8,100,18,73,9,1
